Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
19-May,Sydney,Wellington,New Zealand,13850,13145,26995,2019,5
19-May,Sydney,Wuhan,China,1623,1399,3022,2019,5
19-May,Sydney,Xiamen,China,2325,2346,4671,2019,5
19-May,Sydney,Xi'an,China,2616,2233,4849,2019,5
19-Jun,Sydney,Abu Dhabi,United Arab Emirates,18891,27351,46242,2019,6
19-Jun,Sydney,Almaty,Kazakhstan,0,0,0,2019,6
19-Jun,Sydney,Anchorage,USA,0,0,0,2019,6
19-Jun,Sydney,Apia,Western Samoa,1744,2106,3850,2019,6
19-Jun,Sydney,Auckland,New Zealand,53281,55913,109194,2019,6
19-Jun,Sydney,Bangkok,Thailand,16076,17530,33606,2019,6
19-Jun,Sydney,Beijing,China,9176,14085,23261,2019,6
19-Jun,Sydney,Changsha,China,1372,1667,3039,2019,6
19-Jun,Sydney,Chengdu,China,2252,3094,5346,2019,6
19-Jun,Sydney,Chicago,USA,0,0,0,2019,6
19-Jun,Sydney,Chongqing,China,1227,1737,2964,2019,6
19-Jun,Sydney,Christchurch,New Zealand,13156,15043,28199,2019,6
19-Jun,Sydney,Dallas,USA,7816,10924,18740,2019,6
19-Jun,Sydney,Denpasar,Indonesia,27309,29403,56712,2019,6
19-Jun,Sydney,Doha,Qatar,18206,24380,42586,2019,6
19-Jun,Sydney,Dubai,United Arab Emirates,29705,36838,66543,2019,6
19-Jun,Sydney,Fuzhou,China,2163,2006,4169,2019,6
19-Jun,Sydney,Guangzhou,China,12895,13564,26459,2019,6
19-Jun,Sydney,Haikou,China,975,2062,3037,2019,6
19-Jun,Sydney,Hangzhou,China,1581,1577,3158,2019,6
19-Jun,Sydney,Hanoi,Vietnam,2046,2997,5043,2019,6
19-Jun,Sydney,Ho Chi Minh City,Vietnam,9295,10975,20270,2019,6
19-Jun,Sydney,Hong Kong,Hong Kong (SAR),42807,52004,94811,2019,6
19-Jun,Sydney,Honolulu,USA,16228,19290,35518,2019,6
19-Jun,Sydney,Houston,USA,3722,4045,7767,2019,6
19-Jun,Sydney,Jakarta,Indonesia,8566,10190,18756,2019,6
19-Jun,Sydney,Johannesburg,South Africa,6452,6489,12941,2019,6
19-Jun,Sydney,Kuala Lumpur,Malaysia,19837,24224,44061,2019,6
19-Jun,Sydney,Kunming,China,1222,1808,3030,2019,6
19-Jun,Sydney,London,UK,8027,10762,18789,2019,6
19-Jun,Sydney,Los Angeles,USA,37836,36754,74590,2019,6
19-Jun,Sydney,Louisville,USA,0,0,0,2019,6
19-Jun,Sydney,Manila,Philippines,16616,16959,33575,2019,6
19-Jun,Sydney,Nadi,Fiji,19692,22308,42000,2019,6
19-Jun,Sydney,Nanjing,China,1642,1719,3361,2019,6
